종목,코드,구간,단기,장기,CAGR,MDD,단순보유CAGR,매매횟수
삼성전자,005930,0,5,20,-0.05,-25.49,16.57,59
삼성전자,005930,0,5,40,17.82,-21.26,16.57,23
삼성전자,005930,0,5,60,21.27,-15.73,16.57,11
삼성전자,005930,0,5,90,20.76,-15.74,16.57,7
삼성전자,005930,0,5,120,20.0,-17.58,16.57,5
삼성전자,005930,0,5,150,16.53,-25.68,16.57,7
삼성전자,005930,0,10,20,1.41,-29.87,16.57,42
삼성전자,005930,0,10,40,25.01,-13.14,16.57,15
삼성전자,005930,0,10,60,24.46,-13.16,16.57,9
삼성전자,005930,0,10,90,19.38,-19.34,16.57,5
삼성전자,005930,0,10,120,18.66,-20.13,16.57,5
삼성전자,005930,0,10,150,16.86,-21.81,16.57,5
삼성전자,005930,0,15,20,11.9,-24.02,16.57,44
삼성전자,005930,0,15,40,19.96,-20.09,16.57,17
삼성전자,005930,0,15,60,26.9,-13.14,16.57,7
삼성전자,005930,0,15,90,19.5,-20.5,16.57,5
삼성전자,005930,0,15,120,16.66,-23.88,16.57,5
삼성전자,005930,0,15,150,15.46,-24.48,16.57,5
삼성전자,005930,0,20,40,30.51,-13.14,16.57,11
삼성전자,005930,0,20,60,24.07,-13.16,16.57,9
삼성전자,005930,0,20,90,18.85,-21.86,16.57,5
삼성전자,005930,0,20,120,16.55,-24.08,16.57,5
삼성전자,005930,0,20,150,12.12,-30.97,16.57,5
삼성전자,005930,0,25,40,29.73,-13.15,16.57,15
삼성전자,005930,0,25,60,24.63,-13.14,16.57,7
삼성전자,005930,0,25,90,16.66,-24.32,16.57,5
삼성전자,005930,0,25,120,12.5,-29.39,16.57,5
삼성전자,005930,0,25,150,13.77,-29.08,16.57,5
삼성전자,005930,0,30,40,21.75,-15.13,16.57,11
삼성전자,005930,0,30,60,19.12,-14.36,16.57,9
삼성전자,005930,0,30,90,16.4,-24.57,16.57,5
삼성전자,005930,0,30,120,13.29,-29.6,16.57,5
삼성전자,005930,0,30,150,13.73,-27.94,16.57,5
삼성전자,005930,1,5,20,0.57,-30.98,5.14,50
삼성전자,005930,1,5,40,-2.6,-32.23,5.14,39
삼성전자,005930,1,5,60,-2.12,-28.75,5.14,23
