종목,코드,구간,이평선,CAGR,MDD,단순보유CAGR,매매횟수
삼성전자,005930,0,100,19.85,-16.23,16.57,11
삼성전자,005930,0,150,17.28,-20.95,16.57,11
삼성전자,005930,0,200,11.02,-26.73,16.57,17
삼성전자,005930,0,250,15.89,-16.83,16.57,13
삼성전자,005930,1,100,-11.52,-35.18,5.14,47
삼성전자,005930,1,150,-8.56,-29.55,5.14,34
삼성전자,005930,1,200,-9.58,-31.88,5.14,37
삼성전자,005930,1,250,-8.15,-32.21,5.14,37
삼성전자,005930,2,100,5.93,-25.9,10.94,29
삼성전자,005930,2,150,-1.17,-24.29,10.94,23
삼성전자,005930,2,200,1.78,-14.51,10.94,13
삼성전자,005930,2,250,-3.57,-25.76,10.94,21
삼성전자,005930,3,100,35.31,-41.16,53.58,37
삼성전자,005930,3,150,49.12,-46.9,53.58,15
삼성전자,005930,3,200,56.71,-42.86,53.58,7
삼성전자,005930,3,250,50.44,-42.89,53.58,7
SK하이닉스,000660,0,100,10.11,-36.08,10.51,37
SK하이닉스,000660,0,150,11.78,-31.01,10.51,27
SK하이닉스,000660,0,200,17.48,-15.74,10.51,11
SK하이닉스,000660,0,250,14.69,-15.75,10.51,7
SK하이닉스,000660,1,100,-10.42,-32.8,12.57,40
SK하이닉스,000660,1,150,-8.13,-40.15,12.57,28
SK하이닉스,000660,1,200,-15.47,-47.89,12.57,34
SK하이닉스,000660,1,250,-14.77,-46.66,12.57,39
SK하이닉스,000660,2,100,9.17,-34.44,11.27,29
SK하이닉스,000660,2,150,-10.27,-53.3,11.27,39
SK하이닉스,000660,2,200,-8.08,-41.55,11.27,31
SK하이닉스,000660,2,250,-3.21,-29.24,11.27,19
SK하이닉스,000660,3,100,92.26,-51.69,135.94,26
SK하이닉스,000660,3,150,66.42,-62.48,135.94,23
SK하이닉스,000660,3,200,69.88,-55.24,135.94,21
SK하이닉스,000660,3,250,66.16,-54.71,135.94,23
NAVER,035420,0,100,-3.86,-29.08,6.2,39
NAVER,035420,0,150,-4.9,-37.42,6.2,35
NAVER,035420,0,200,3.1,-24.44,6.2,17
NAVER,035420,0,250,7.8,-17.92,6.2,11
NAVER,035420,1,100,14.85,-34.8,15.32,31
NAVER,035420,1,150,11.36,-33.4,15.32,29
NAVER,035420,1,200,25.42,-19.87,15.32,7
NAVER,035420,1,250,20.83,-30.9,15.32,5
NAVER,035420,2,100,-1.29,-25.74,-9.59,33
NAVER,035420,2,150,-3.29,-31.1,-9.59,19
NAVER,035420,2,200,-9.26,-39.91,-9.59,21
NAVER,035420,2,250,-2.83,-18.11,-9.59,5
NAVER,035420,3,100,-12.99,-54.71,3.27,37
NAVER,035420,3,150,-10.05,-47.9,3.27,29
NAVER,035420,3,200,-3.05,-35.49,3.27,14
NAVER,035420,3,250,-7.68,-43.12,3.27,14
현대차,005380,0,100,-11.57,-38.33,-11.4,51
현대차,005380,0,150,-8.43,-32.24,-11.4,35
현대차,005380,0,200,-6.1,-29.45,-11.4,31
현대차,005380,0,250,-7.15,-31.56,-11.4,27
현대차,005380,1,100,-10.98,-33.9,-15.32,38
현대차,005380,1,150,-12.45,-33.37,-15.32,34
현대차,005380,1,200,-11.65,-35.27,-15.32,36
현대차,005380,1,250,-6.11,-25.02,-15.32,12
현대차,005380,2,100,1.79,-41.8,27.8,35
현대차,005380,2,150,-1.75,-23.76,27.8,17
현대차,005380,2,200,-2.95,-29.31,27.8,23
현대차,005380,2,250,-7.21,-30.95,27.8,27
현대차,005380,3,100,39.29,-33.73,29.7,22
현대차,005380,3,150,17.39,-40.05,29.7,20
현대차,005380,3,200,12.86,-43.33,29.7,20
현대차,005380,3,250,13.07,-52.64,29.7,13
LG화학,051910,0,100,2.71,-30.66,2.88,19
LG화학,051910,0,150,3.2,-25.34,2.88,19
LG화학,051910,0,200,-1.39,-31.43,2.88,17
LG화학,051910,0,250,-5.72,-32.22,2.88,21
LG화학,051910,1,100,-2.76,-40.11,18.89,35
LG화학,051910,1,150,-5.17,-46.64,18.89,41
LG화학,051910,1,200,0.72,-29.4,18.89,25
LG화학,051910,1,250,0.06,-31.41,18.89,19
LG화학,051910,2,100,-16.9,-55.87,10.18,48
LG화학,051910,2,150,-14.49,-41.75,10.18,28
LG화학,051910,2,200,-12.9,-44.09,10.18,31
LG화학,051910,2,250,-8.05,-32.06,10.18,21
LG화학,051910,3,100,-7.23,-46.43,-24.64,30
LG화학,051910,3,150,1.47,-39.74,-24.64,12
LG화학,051910,3,200,-6.15,-46.42,-24.64,20
LG화학,051910,3,250,-1.06,-34.84,-24.64,8
코스피지수,KS11,0,100,-4.88,-21.15,-1.31,54
코스피지수,KS11,0,150,-4.01,-20.49,-1.31,44
코스피지수,KS11,0,200,-6.19,-24.69,-1.31,46
코스피지수,KS11,0,250,-4.18,-19.22,-1.31,36
코스피지수,KS11,1,100,-4.89,-21.82,2.5,62
코스피지수,KS11,1,150,-0.7,-15.93,2.5,36
코스피지수,KS11,1,200,-4.25,-19.81,2.5,58
코스피지수,KS11,1,250,0.42,-15.45,2.5,28
코스피지수,KS11,2,100,9.63,-10.38,2.47,14
코스피지수,KS11,2,150,7.72,-13.38,2.47,20
코스피지수,KS11,2,200,8.08,-12.1,2.47,14
코스피지수,KS11,2,250,6.95,-12.08,2.47,14
코스피지수,KS11,3,100,20.12,-34.48,31.41,42
코스피지수,KS11,3,150,20.15,-38.3,31.41,31
코스피지수,KS11,3,200,17.49,-41.17,31.41,23
코스피지수,KS11,3,250,19.37,-38.63,31.41,29
